0,1,2,3,4,5
Bracket Type=4,,,,,
Sample Type,File Name,Path,Instrument Method,Position,Inj Vol
Unknown,GW0711_TrueBlank_end_RA1_rep44_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_RC21_rep30_ch1_dry,msdatapath,msmethodpath\LF_12ms,BC12,1
Unknown,GW0711_TrueBlank_end_RA1_rep45_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_BC12_rep31_ch1_dry,msdatapath,msmethodpath\LF_12ms,GC10,1
Unknown,GW0711_TrueBlank_end_RA1_rep46_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_GC10_rep16_ch1_dry,msdatapath,msmethodpath\LF_12ms,GC13,1
Unknown,GW0711_TrueBlank_end_RA1_rep47_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_GC13_rep17_ch1_dry,msdatapath,msmethodpath\LF_12ms,RC4,1
Unknown,GW0711_TrueBlank_end_RA1_rep48_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_RC4_rep32_ch1_dry,msdatapath,msmethodpath\LF_12ms,RC13,1
Unknown,GW0711_TrueBlank_end_RA1_rep49_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_RC13_rep33_ch1_dry,msdatapath,msmethodpath\LF_12ms,GC16,1
Unknown,GW0711_TrueBlank_end_RA1_rep50_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_GC16_rep18_ch1_dry,msdatapath,msmethodpath\LF_12ms,BC19,1
Unknown,GW0711_TrueBlank_end_RA1_rep51_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_BC19_rep34_ch1_dry,msdatapath,msmethodpath\LF_12ms,RC12,1
Unknown,GW0711_TrueBlank_end_RA1_rep52_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_RC12_rep35_ch1_dry,msdatapath,msmethodpath\LF_12ms,BC6,1
Unknown,GW0711_TrueBlank_end_RA1_rep53_ch2_dry,msdatapath,msmethodpath\LF_12ms,RA1,1
Unknown,GW0711_lib_Lib1_BC6_rep36_ch1_dry,msdatapath,msmethodpath\LF_12ms,RC7,1
